tgl,lat,lon,depth,mag,remark
1/1/2021,0.3,126.62,58,3.1,Northern Molucca Sea
1/1/2021,-9.25,119.44,29,2.5,Sumba Region - Indonesia
1/1/2021,2.25,127.29,38,3.8,Northern Molucca Sea
1/1/2021,-7.58,128.67,197,4.2,Banda Sea
1/1/2021,-8.9,119.04,69,2.8,Flores Region - Indonesia
1/1/2021,-9.78,120.66,16,3.0,Sumba Region - Indonesia
1/1/2021,-2.76,130.52,10,3.3,Seram - Indonesia
1/1/2021,-9.69,119.83,50,2.9,Sumba Region - Indonesia
1/1/2021,-9.14,119.06,53,3.3,Sumba Region - Indonesia
1/1/2021,-0.22,124.45,10,4.7,Southern Molucca Sea
1/1/2021,-3.1,131.81,30,3.6,Irian Jaya Region - Indonesia
1/1/2021,0.3,126.62,58,3.1,Northern Molucca Sea
1/1/2021,-9.25,119.44,29,2.5,Sumba Region - Indonesia
1/1/2021,2.25,127.29,38,3.8,Northern Molucca Sea
1/1/2021,-7.58,128.67,197,4.2,Banda Sea
1/1/2021,-8.9,119.04,69,2.8,Flores Region - Indonesia
1/1/2021,-9.78,120.66,16,3.0,Sumba Region - Indonesia
1/1/2021,-2.76,130.52,10,3.3,Seram - Indonesia
1/1/2021,-9.69,119.83,50,2.9,Sumba Region - Indonesia
1/1/2021,-9.14,119.06,53,3.3,Sumba Region - Indonesia
1/1/2021,-0.22,124.45,10,4.7,Southern Molucca Sea
1/1/2021,-3.1,131.81,30,3.6,Irian Jaya Region - Indonesia
1/1/2021,4.32,96.52,10,2.8,Northern Sumatra - Indonesia
1/1/2021,-9.72,120.61,31,2.5,Sumba Region - Indonesia
1/1/2021,-9.9,120.74,41,3.0,Sumba Region - Indonesia
1/1/2021,-1.85,120.53,10,4.0,Sulawesi - Indonesia
1/1/2021,-9.01,118.49,67,4.3,Sumbawa Region - Indonesia
1/1/2021,-8.21,117.81,19,3.5,Sumbawa Region - Indonesia
1/2/2021,-3.82,133.74,10,4.1,Irian Jaya Region - Indonesia
1/2/2021,0.21,121.01,19,2.9,Minahassa Peninsula - Sulawesi
1/2/2021,-8.79,124.3,69,3.0,Timor Region
1/2/2021,4.41,137.99,10,5.0,W. Caroline Islands - Micronesia
1/2/2021,4.41,137.99,10,5.0,W. Caroline Islands - Micronesia
1/2/2021,-0.1,125.38,10,2.9,Southern Molucca Sea
1/2/2021,-7.09,122.35,10,3.6,Flores Sea
1/2/2021,1.2,96.81,13,3.4,Off West Coast of Northern Sumatra
