tgl,lat,lon,depth,mag,remark
1/1/2017,3.83,94.56,35,4.7,Off West Coast of Northern Sumatra
1/1/2017,1.4,99.33,10,3.5,Northern Sumatra - Indonesia
1/1/2017,3.01,128.57,155,4.4,North of Halmahera - Indonesia
1/1/2017,-7.69,115.48,293,3.7,Bali Sea
1/1/2017,-1.2,120.25,14,2.7,Sulawesi - Indonesia
1/1/2017,-9.48,117.57,21,2.9,Sumbawa Region - Indonesia
1/1/2017,-6.1,103.74,15,3.0,Southwest of Sumatra - Indonesia
1/1/2017,-9.48,114.26,10,3.5,South of Bali - Indonesia
1/1/2017,0.54,122.39,63,1.8,Minahassa Peninsula - Sulawesi
1/1/2017,3.73,128.71,10,4.4,North of Halmahera - Indonesia
1/1/2017,3.94,128.82,10,4.8,North of Halmahera - Indonesia
1/1/2017,3.74,128.52,32,5.5,North of Halmahera - Indonesia
1/1/2017,3.74,128.52,32,5.5,North of Halmahera - Indonesia
1/1/2017,3.73,128.65,66,5.1,North of Halmahera - Indonesia
1/1/2017,3.73,128.65,66,5.1,North of Halmahera - Indonesia
1/1/2017,-6.02,103.78,10,4.1,Southwest of Sumatra - Indonesia
1/1/2017,-7.27,120.37,533,4.2,Flores Sea
1/1/2017,-8.96,110.0,10,4.0,Java - Indonesia
1/1/2017,-2.44,139.64,74,4.0,Near North Coast of Irian Jaya
1/1/2017,2.79,127.6,76,5.0,Northern Molucca Sea
1/1/2017,2.79,127.6,76,5.0,Northern Molucca Sea
1/2/2017,-0.08,123.19,127,4.4,Minahassa Peninsula - Sulawesi
1/2/2017,-7.94,115.32,13,3.4,Bali Sea
1/2/2017,3.67,128.66,10,4.5,North of Halmahera - Indonesia
1/2/2017,-8.95,108.73,57,5.3,Java - Indonesia
1/2/2017,-8.95,108.73,57,5.3,Java - Indonesia
1/2/2017,-7.97,123.2,233,4.7,Banda Sea
1/2/2017,2.32,126.8,13,4.0,Northern Molucca Sea
1/2/2017,4.69,127.58,30,4.5,Talaud Islands - Indonesia
1/2/2017,-2.27,120.54,10,3.4,Sulawesi - Indonesia
1/2/2017,1.67,127.01,16,3.7,Halmahera - Indonesia
1/2/2017,1.87,98.93,108,4.2,Northern Sumatra - Indonesia
1/2/2017,-6.11,105.4,10,3.1,Sunda Strait - Indonesia
1/2/2017,-2.77,129.97,12,3.8,Seram - Indonesia
1/2/2017,-6.73,130.63,87,4.9,Banda Sea
1/2/2017,-0.17,100.31,10,2.9,Southern Sumatra - Indonesia
1/3/2017,-7.4,107.04,12,3.2,Java - Indonesia
1/3/2017,-7.8,128.24,164,4.7,Banda Sea
1/3/2017,3.03,128.1,122,4.2,North of Halmahera - Indonesia
1/3/2017,-8.17,106.88,14,4.5,South of Java - Indonesia
1/3/2017,0.23,122.33,138,2.4,Minahassa Peninsula - Sulawesi
1/3/2017,-0.22,122.76,10,3.4,Minahassa Peninsula - Sulawesi
1/3/2017,-0.98,126.78,72,3.6,Southern Molucca Sea
1/3/2017,1.55,126.97,123,4.2,Northern Molucca Sea
1/3/2017,3.83,128.75,10,4.6,North of Halmahera - Indonesia
1/3/2017,3.62,128.89,18,4.7,North of Halmahera - Indonesia
1/3/2017,-3.32,139.22,78,4.5,Irian Jaya - Indonesia
1/3/2017,-3.55,139.41,87,4.7,Irian Jaya - Indonesia
1/3/2017,-8.26,106.87,46,4.0,South of Java - Indonesia
1/3/2017,-8.22,106.84,57,4.8,South of Java - Indonesia
1/3/2017,-8.22,106.84,57,4.8,South of Java - Indonesia
1/4/2017,-6.0,104.27,28,3.3,Southern Sumatra - Indonesia
1/4/2017,0.4,122.29,43,2.5,Minahassa Peninsula - Sulawesi
1/4/2017,1.66,125.22,21,3.7,Northern Molucca Sea
1/4/2017,-0.16,122.78,18,3.0,Minahassa Peninsula - Sulawesi
1/4/2017,-0.56,120.97,10,2.9,Minahassa Peninsula - Sulawesi
1/4/2017,-8.73,110.61,35,3.3,Java - Indonesia
1/4/2017,-6.46,130.09,143,5.2,Banda Sea
1/4/2017,-6.46,130.09,143,5.2,Banda Sea
1/4/2017,0.88,126.46,13,4.1,Northern Molucca Sea
1/4/2017,-8.18,108.28,31,4.3,Java - Indonesia
1/4/2017,-8.18,108.28,31,4.3,Java - Indonesia
1/4/2017,-0.65,127.86,10,3.8,Halmahera - Indonesia
1/4/2017,-0.88,131.15,10,2.9,Irian Jaya Region - Indonesia
1/4/2017,5.23,96.24,10,3.6,Northern Sumatra - Indonesia
1/5/2017,-8.5,108.89,11,3.9,Java - Indonesia
1/5/2017,-10.7,119.25,53,4.7,Sumba Region - Indonesia
1/5/2017,-6.6,121.76,91,3.7,Flores Sea
1/5/2017,-5.09,102.23,10,3.9,Southern Sumatra - Indonesia
1/5/2017,1.69,99.27,10,3.8,Northern Sumatra - Indonesia
1/5/2017,3.55,122.68,557,4.6,Celebes Sea
1/5/2017,3.82,128.64,49,4.6,North of Halmahera - Indonesia
1/5/2017,2.52,95.91,28,3.7,Off West Coast of Northern Sumatra
1/5/2017,3.08,127.88,104,4.7,Talaud Islands - Indonesia
1/5/2017,-9.11,125.59,10,3.5,Timor Region
1/5/2017,-9.0,125.65,10,4.0,Timor Region
1/6/2017,-2.54,139.51,10,4.2,Near North Coast of Irian Jaya
1/6/2017,-7.01,113.6,14,3.4,Java - Indonesia
1/6/2017,0.46,123.68,232,3.8,Minahassa Peninsula - Sulawesi
1/6/2017,-1.1,126.93,10,4.1,Southern Molucca Sea
1/6/2017,-8.87,113.95,18,2.7,Java - Indonesia
1/6/2017,-0.08,123.59,118,4.3,Minahassa Peninsula - Sulawesi
1/6/2017,1.42,98.02,49,4.7,Northern Sumatra - Indonesia
1/6/2017,1.42,98.02,49,4.7,Northern Sumatra - Indonesia
1/6/2017,3.72,128.54,10,4.6,North of Halmahera - Indonesia
1/6/2017,1.39,98.1,61,5.1,Northern Sumatra - Indonesia
1/6/2017,1.39,98.1,61,5.1,Northern Sumatra - Indonesia
1/6/2017,-8.71,111.89,30,3.4,Java - Indonesia
1/6/2017,-7.7,107.29,36,2.7,Java - Indonesia
1/6/2017,-2.88,101.44,77,4.9,Southern Sumatra - Indonesia
1/6/2017,-2.88,101.44,77,4.9,Southern Sumatra - Indonesia
1/6/2017,-5.4,131.29,131,4.0,Banda Sea
1/6/2017,-0.49,121.88,13,2.6,Minahassa Peninsula - Sulawesi
1/6/2017,-7.31,106.7,67,3.5,Java - Indonesia
1/7/2017,-2.69,129.55,10,3.6,Seram - Indonesia
1/7/2017,-2.66,129.5,15,3.6,Seram - Indonesia
1/7/2017,-8.13,115.89,261,3.9,Bali Region - Indonesia
1/7/2017,0.96,121.63,36,2.7,Minahassa Peninsula - Sulawesi
1/7/2017,-3.13,128.82,40,2.7,Seram - Indonesia
1/7/2017,-8.23,117.87,55,3.3,Sumbawa Region - Indonesia
1/7/2017,1.9,127.07,21,4.6,Halmahera - Indonesia
1/7/2017,-6.24,128.71,290,4.6,Banda Sea
1/7/2017,-9.54,120.12,82,5.7,Sumba Region - Indonesia
1/7/2017,-9.54,120.12,82,5.7,Sumba Region - Indonesia
1/7/2017,-0.2,122.88,26,3.0,Minahassa Peninsula - Sulawesi
1/7/2017,3.75,96.58,55,3.3,Northern Sumatra - Indonesia
1/7/2017,-6.49,103.89,43,4.7,Southwest of Sumatra - Indonesia
1/7/2017,5.69,126.62,66,5.0,Mindanao - Philippines
1/7/2017,5.69,126.62,66,5.0,Mindanao - Philippines
1/8/2017,0.54,122.38,75,2.0,Minahassa Peninsula - Sulawesi
1/8/2017,0.62,122.09,75,3.8,Minahassa Peninsula - Sulawesi
1/8/2017,-8.39,115.0,136,3.1,Bali Region - Indonesia
1/8/2017,0.31,121.85,183,2.2,Minahassa Peninsula - Sulawesi
1/8/2017,-7.58,128.51,199,5.0,Banda Sea
1/8/2017,1.38,97.0,28,3.7,Northern Sumatra - Indonesia
1/9/2017,-8.27,108.54,77,3.0,Java - Indonesia
1/9/2017,-3.38,128.21,18,2.2,Seram - Indonesia
1/9/2017,3.91,128.58,16,4.8,North of Halmahera - Indonesia
1/9/2017,2.56,127.22,68,5.2,Northern Molucca Sea
1/9/2017,2.56,127.22,68,5.2,Northern Molucca Sea
1/9/2017,-0.78,131.48,50,3.3,Irian Jaya Region - Indonesia
1/9/2017,-1.72,100.28,69,5.3,Southern Sumatra - Indonesia
1/9/2017,-1.72,100.28,69,5.3,Southern Sumatra - Indonesia
1/9/2017,-8.83,110.73,27,3.0,Java - Indonesia
1/9/2017,-2.7,129.55,26,3.0,Seram - Indonesia
1/9/2017,-4.14,129.36,10,3.6,Banda Sea
1/9/2017,-7.64,128.44,139,4.7,Banda Sea
1/10/2017,-6.14,125.6,543,4.4,Banda Sea
1/10/2017,0.97,120.25,34,3.1,Minahassa Peninsula - Sulawesi
1/10/2017,-8.06,117.62,15,3.8,Sumbawa Region - Indonesia
1/10/2017,-8.1,117.6,19,4.7,Sumbawa Region - Indonesia
1/10/2017,-8.1,117.6,19,4.7,Sumbawa Region - Indonesia
1/10/2017,-0.59,131.22,10,2.2,Irian Jaya Region - Indonesia
1/10/2017,-6.78,130.18,198,4.3,Banda Sea
1/10/2017,3.75,123.2,630,5.3,Celebes Sea
1/10/2017,4.39,122.58,629,7.2,Celebes Sea
1/10/2017,4.39,122.58,629,7.2,Celebes Sea
1/10/2017,-10.62,123.8,10,3.6,Timor Region
1/10/2017,-6.77,105.17,19,3.4,Sunda Strait - Indonesia
1/11/2017,-7.75,124.83,366,4.5,Banda Sea
1/11/2017,3.54,128.68,45,4.7,North of Halmahera - Indonesia
1/11/2017,-8.06,119.41,269,4.3,Flores Region - Indonesia
1/11/2017,-3.98,129.5,128,4.1,Seram - Indonesia
1/11/2017,-9.15,123.72,49,3.7,Timor Region
1/11/2017,-8.1,119.63,10,3.5,Flores Region - Indonesia
1/11/2017,1.09,125.37,49,4.3,Northern Molucca Sea
1/11/2017,1.91,127.17,109,3.6,Halmahera - Indonesia
1/11/2017,0.51,122.35,84,1.8,Minahassa Peninsula - Sulawesi
1/11/2017,-8.27,120.92,172,3.9,Flores Region - Indonesia
1/11/2017,0.79,121.63,69,2.9,Minahassa Peninsula - Sulawesi
1/11/2017,0.29,124.15,26,3.6,Minahassa Peninsula - Sulawesi
1/11/2017,0.2,122.1,140,1.9,Minahassa Peninsula - Sulawesi
1/12/2017,-9.29,115.49,41,2.8,South of Bali - Indonesia
1/12/2017,-9.95,123.99,56,3.2,Timor Region
1/12/2017,-1.79,100.43,15,3.5,Southern Sumatra - Indonesia
1/12/2017,-7.72,106.94,27,4.8,Java - Indonesia
1/12/2017,-7.72,106.94,27,4.8,Java - Indonesia
1/12/2017,5.33,94.68,102,5.2,Northern Sumatra - Indonesia
1/12/2017,5.33,94.68,102,5.2,Northern Sumatra - Indonesia
1/12/2017,0.57,122.31,80,2.6,Minahassa Peninsula - Sulawesi
1/12/2017,0.75,120.02,10,3.5,Minahassa Peninsula - Sulawesi
1/12/2017,-1.9,128.47,10,4.8,Halmahera - Indonesia
1/12/2017,-5.42,102.69,49,5.1,Southern Sumatra - Indonesia
1/12/2017,-5.42,102.69,49,5.1,Southern Sumatra - Indonesia
1/12/2017,0.54,123.02,74,3.2,Minahassa Peninsula - Sulawesi
1/12/2017,2.13,96.67,15,3.3,Northern Sumatra - Indonesia
1/12/2017,5.59,95.95,10,3.8,Northern Sumatra - Indonesia
1/12/2017,0.56,98.34,41,4.0,Northern Sumatra - Indonesia
1/12/2017,-0.86,130.85,10,3.6,Irian Jaya Region - Indonesia
