tgl,lat,lon,depth,mag,remark
1/1/2013,2.43,128.22,254,4.7,Halmahera - Indonesia
1/1/2013,-1.19,120.29,10,3.8,Sulawesi - Indonesia
1/1/2013,-8.02,111.67,98,3.3,Java - Indonesia
1/1/2013,2.26,96.03,11,4.5,Northern Sumatra - Indonesia
1/1/2013,-6.32,130.32,10,4.7,Banda Sea
1/1/2013,-5.62,103.97,44,4.7,Southern Sumatra - Indonesia
1/1/2013,-6.22,104.16,20,3.1,Sunda Strait - Indonesia
1/1/2013,-9.16,123.65,10,3.2,Timor Region
1/1/2013,-1.07,126.96,10,4.9,Southern Molucca Sea
1/1/2013,-6.81,130.36,113,4.3,Banda Sea
1/1/2013,-9.59,120.14,60,3.1,Sumba Region - Indonesia
1/1/2013,-2.67,129.24,102,3.3,Seram - Indonesia
1/1/2013,-7.98,107.34,10,4.4,Java - Indonesia
1/1/2013,-3.53,139.06,27,4.4,Irian Jaya - Indonesia
1/1/2013,-0.11,98.47,50,4.5,Southern Sumatra - Indonesia
1/1/2013,2.42,96.17,10,3.1,Northern Sumatra - Indonesia
1/1/2013,-8.84,124.37,99,3.5,Timor Region
1/1/2013,1.41,122.09,14,3.2,Minahassa Peninsula - Sulawesi
1/2/2013,3.96,127.71,149,4.7,Talaud Islands - Indonesia
1/2/2013,-0.67,121.74,36,4.9,Minahassa Peninsula - Sulawesi
1/2/2013,-10.71,113.86,89,4.8,South of Java - Indonesia
1/2/2013,-2.1,100.63,10,3.6,Southern Sumatra - Indonesia
1/2/2013,-8.88,112.54,30,3.9,Java - Indonesia
1/2/2013,-8.53,119.59,159,2.7,Flores Region - Indonesia
1/2/2013,-6.44,130.04,168,4.7,Banda Sea
1/2/2013,-3.01,100.95,13,5.0,Southern Sumatra - Indonesia
1/2/2013,-8.39,121.36,10,4.3,Flores Region - Indonesia
1/3/2013,-2.85,119.74,10,3.4,Sulawesi - Indonesia
1/3/2013,-8.62,110.4,56,3.0,Java - Indonesia
1/3/2013,-7.92,106.33,10,3.9,Java - Indonesia
1/3/2013,-8.74,118.36,113,3.5,Sumbawa Region - Indonesia
1/3/2013,-4.48,138.97,54,4.6,Irian Jaya - Indonesia
1/3/2013,-8.97,116.91,10,3.2,Sumbawa Region - Indonesia
1/3/2013,-2.49,121.49,10,3.9,Sulawesi - Indonesia
1/3/2013,2.47,96.5,10,3.2,Northern Sumatra - Indonesia
1/3/2013,-1.58,127.5,10,4.4,Halmahera - Indonesia
1/3/2013,-0.38,132.22,10,3.5,Irian Jaya Region - Indonesia
1/3/2013,-1.78,127.3,10,5.0,Halmahera - Indonesia
1/3/2013,-1.47,127.44,39,5.4,Halmahera - Indonesia
1/3/2013,-1.47,127.44,39,5.4,Halmahera - Indonesia
1/4/2013,-6.74,104.13,11,3.3,Sunda Strait - Indonesia
1/4/2013,1.69,99.41,159,3.4,Northern Sumatra - Indonesia
1/4/2013,1.36,127.16,122,4.6,Halmahera - Indonesia
1/4/2013,-3.7,119.5,10,2.7,Sulawesi - Indonesia
1/4/2013,-9.94,121.74,11,3.6,Savu Sea
1/4/2013,-10.49,113.84,10,3.8,South of Java - Indonesia
1/4/2013,-1.48,119.57,10,3.5,Sulawesi - Indonesia
1/4/2013,-1.43,127.32,17,4.1,Halmahera - Indonesia
1/4/2013,0.62,96.64,11,3.5,Off West Coast of Northern Sumatra
1/4/2013,-2.68,128.12,14,4.5,Ceram Sea
1/4/2013,-8.95,119.02,89,4.1,Flores Region - Indonesia
1/4/2013,1.67,122.03,24,4.3,Minahassa Peninsula - Sulawesi
1/4/2013,-7.63,128.79,121,4.5,Banda Sea
1/5/2013,2.27,98.76,16,2.8,Northern Sumatra - Indonesia
1/5/2013,-9.95,118.89,10,3.4,Sumbawa Region - Indonesia
1/5/2013,-0.66,97.12,42,3.9,Southwest of Sumatra - Indonesia
1/5/2013,-9.02,122.03,113,4.1,Savu Sea
1/5/2013,5.7,94.38,86,4.6,Northern Sumatra - Indonesia
1/5/2013,3.37,97.92,14,3.6,Northern Sumatra - Indonesia
1/6/2013,-1.3,134.37,13,2.9,Irian Jaya Region - Indonesia
1/6/2013,-8.73,108.53,21,3.9,Java - Indonesia
1/6/2013,-6.93,130.87,106,4.9,Banda Sea
1/6/2013,-8.47,123.63,170,4.3,Flores Region - Indonesia
1/6/2013,-2.83,126.38,10,3.8,Ceram Sea
1/6/2013,1.15,127.46,142,5.3,Halmahera - Indonesia
1/6/2013,-6.66,130.83,113,4.7,Banda Sea
1/7/2013,-1.01,127.23,10,3.6,Halmahera - Indonesia
1/7/2013,-7.93,117.65,27,3.7,Bali Sea
1/7/2013,-6.3,104.3,10,4.3,Sunda Strait - Indonesia
1/13/2013,-2.46,139.28,13,4.6,Near North Coast of Irian Jaya
1/14/2013,-9.4,117.09,30,4.1,Sumbawa Region - Indonesia
1/14/2013,0.37,123.7,218,4.0,Minahassa Peninsula - Sulawesi
1/14/2013,0.26,122.21,166,3.9,Minahassa Peninsula - Sulawesi
1/14/2013,-9.47,112.94,12,3.3,South of Java - Indonesia
1/14/2013,-0.14,122.93,146,4.0,Minahassa Peninsula - Sulawesi
1/14/2013,-9.49,112.87,11,4.5,South of Java - Indonesia
1/14/2013,1.87,96.92,16,4.7,Off West Coast of Northern Sumatra
1/14/2013,-9.05,124.1,19,4.2,Timor Region
1/14/2013,-0.61,121.81,10,4.1,Minahassa Peninsula - Sulawesi
1/14/2013,-3.75,119.13,10,4.4,Sulawesi - Indonesia
1/14/2013,1.29,125.72,10,4.4,Northern Molucca Sea
1/15/2013,-0.89,99.21,28,3.2,Southern Sumatra - Indonesia
1/15/2013,-0.03,123.09,161,3.6,Minahassa Peninsula - Sulawesi
1/15/2013,-6.78,104.93,10,3.3,Sunda Strait - Indonesia
1/15/2013,0.67,122.05,53,2.7,Minahassa Peninsula - Sulawesi
1/15/2013,-3.91,136.99,27,3.6,Irian Jaya - Indonesia
1/15/2013,-2.26,140.08,10,3.3,Near North Coast of Irian Jaya
1/15/2013,-9.36,114.02,17,3.9,South of Bali - Indonesia
1/15/2013,-6.95,107.12,125,3.6,Java - Indonesia
1/15/2013,-0.16,122.99,60,3.8,Minahassa Peninsula - Sulawesi
1/15/2013,-0.62,136.55,21,4.3,Irian Jaya Region - Indonesia
1/15/2013,-0.51,136.67,10,4.1,Irian Jaya Region - Indonesia
1/15/2013,-8.05,117.65,18,2.8,Sumbawa Region - Indonesia
1/15/2013,1.03,126.62,10,3.3,Northern Molucca Sea
1/15/2013,-3.97,132.87,23,4.8,Irian Jaya Region - Indonesia
1/15/2013,0.45,98.34,10,3.9,Northern Sumatra - Indonesia
1/16/2013,-10.01,123.71,10,2.9,Timor Region
1/16/2013,-8.72,122.37,113,4.1,Flores Region - Indonesia
1/16/2013,-2.83,139.46,91,4.4,Near North Coast of Irian Jaya
1/16/2013,0.73,122.08,79,2.3,Minahassa Peninsula - Sulawesi
1/16/2013,-5.01,129.8,120,3.7,Banda Sea
1/16/2013,-8.83,124.27,75,3.9,Timor Region
1/16/2013,-1.43,119.56,17,3.7,Sulawesi - Indonesia
1/16/2013,-3.22,131.09,20,4.0,Irian Jaya Region - Indonesia
1/16/2013,1.34,96.91,21,3.4,Off West Coast of Northern Sumatra
1/16/2013,-2.2,102.18,170,3.8,Southern Sumatra - Indonesia
1/17/2013,-0.35,100.4,10,3.2,Southern Sumatra - Indonesia
1/17/2013,-2.87,129.53,29,4.1,Seram - Indonesia
1/17/2013,1.67,126.59,13,4.5,Northern Molucca Sea
1/17/2013,0.03,126.29,22,4.2,Northern Molucca Sea
1/17/2013,-9.33,115.14,26,3.2,South of Bali - Indonesia
1/17/2013,-8.93,123.8,13,3.3,Flores Region - Indonesia
1/17/2013,1.1,120.97,17,2.5,Minahassa Peninsula - Sulawesi
1/17/2013,-8.12,112.51,17,2.3,Java - Indonesia
1/17/2013,-5.36,131.28,113,4.6,Banda Sea
1/17/2013,-8.17,123.5,10,3.1,Flores Region - Indonesia
1/17/2013,-5.49,104.88,72,3.0,Southern Sumatra - Indonesia
1/17/2013,-2.63,102.29,154,3.9,Southern Sumatra - Indonesia
1/17/2013,-10.95,116.74,10,3.6,South of Sumbawa - Indonesia
1/17/2013,-0.29,123.16,10,2.8,Minahassa Peninsula - Sulawesi
1/17/2013,5.86,124.83,29,5.0,Mindanao - Philippines
1/17/2013,-10.13,111.77,10,3.6,South of Java - Indonesia
1/17/2013,5.03,94.74,46,4.0,Northern Sumatra - Indonesia
1/18/2013,-8.83,124.02,21,3.8,Timor Region
1/18/2013,-7.04,105.27,10,4.5,Java - Indonesia
1/18/2013,-8.88,112.86,22,3.2,Java - Indonesia
1/18/2013,0.3,122.15,140,3.1,Minahassa Peninsula - Sulawesi
1/18/2013,-6.0,109.91,552,4.2,Java Sea
1/18/2013,-8.29,118.77,120,2.6,Sumbawa Region - Indonesia
1/18/2013,0.24,123.35,72,2.8,Minahassa Peninsula - Sulawesi
1/18/2013,-6.53,130.72,116,4.7,Banda Sea
1/18/2013,-0.31,96.57,10,4.0,Southwest of Sumatra - Indonesia
1/18/2013,-6.47,130.83,118,4.4,Banda Sea
1/18/2013,-7.81,117.39,13,3.7,Bali Sea
1/18/2013,0.27,97.61,34,4.6,Northern Sumatra - Indonesia
1/18/2013,0.3,97.68,25,4.7,Northern Sumatra - Indonesia
1/18/2013,-3.0,101.02,26,3.7,Southern Sumatra - Indonesia
1/18/2013,-6.77,130.64,104,5.1,Banda Sea
1/18/2013,-0.02,123.25,127,3.1,Minahassa Peninsula - Sulawesi
1/19/2013,1.93,99.33,141,3.3,Northern Sumatra - Indonesia
1/19/2013,-0.37,100.42,10,2.7,Southern Sumatra - Indonesia
1/19/2013,1.24,120.63,10,3.6,Minahassa Peninsula - Sulawesi
1/19/2013,-0.08,122.18,261,4.1,Minahassa Peninsula - Sulawesi
1/19/2013,-7.86,120.5,280,4.0,Flores Sea
1/19/2013,-0.19,125.33,10,3.8,Southern Molucca Sea
1/19/2013,-3.32,139.98,176,4.9,Irian Jaya - Indonesia
1/19/2013,0.08,121.77,180,2.5,Minahassa Peninsula - Sulawesi
1/19/2013,-1.39,119.44,51,4.3,Sulawesi - Indonesia
1/19/2013,-1.31,119.46,10,3.7,Sulawesi - Indonesia
1/20/2013,-0.04,123.14,23,2.6,Minahassa Peninsula - Sulawesi
1/20/2013,-8.77,111.36,39,4.0,Java - Indonesia
1/20/2013,-5.19,104.6,64,3.0,Southern Sumatra - Indonesia
1/20/2013,-1.85,126.57,25,4.1,Southern Molucca Sea
1/20/2013,-1.44,120.03,10,3.0,Sulawesi - Indonesia
1/20/2013,-0.03,97.18,10,4.3,Southwest of Sumatra - Indonesia
1/20/2013,-5.58,103.91,12,3.5,Southern Sumatra - Indonesia
1/20/2013,-6.56,130.06,185,5.0,Banda Sea
1/20/2013,-1.47,120.02,10,3.5,Sulawesi - Indonesia
1/20/2013,2.7,98.69,10,3.2,Northern Sumatra - Indonesia
1/21/2013,5.12,96.14,25,4.5,Northern Sumatra - Indonesia
1/21/2013,5.16,95.75,17,4.6,Northern Sumatra - Indonesia
1/21/2013,5.13,95.79,12,4.7,Northern Sumatra - Indonesia
1/21/2013,4.77,95.99,10,5.9,Northern Sumatra - Indonesia
