tgl,lat,lon,depth,mag,remark
11/1/2008,-9.18,119.06,10,4.9,Sumba Region - Indonesia
11/1/2008,-6.55,129.64,10,4.6,Banda Sea
11/1/2008,-7.01,106.63,121,3.7,Java - Indonesia
11/1/2008,-3.3,127.85,10,3.2,Seram - Indonesia
11/1/2008,-6.41,129.54,70,4.3,Banda Sea
11/1/2008,-7.37,105.31,18,3.3,Java - Indonesia
11/1/2008,0.1,98.55,12,4.7,Northern Sumatra - Indonesia
11/1/2008,-7.07,129.67,135,4.8,Banda Sea
11/1/2008,-3.32,128.02,10,2.3,Seram - Indonesia
11/1/2008,-4.43,127.45,10,3.2,Banda Sea
11/1/2008,-3.94,127.45,9,2.6,Seram - Indonesia
11/1/2008,-3.43,128.39,10,2.3,Seram - Indonesia
11/1/2008,-4.26,127.66,10,3.2,Banda Sea
11/1/2008,0.49,98.33,16,3.9,Northern Sumatra - Indonesia
11/1/2008,-3.89,128.24,10,2.2,Seram - Indonesia
11/1/2008,-3.76,127.38,10,2.9,Seram - Indonesia
11/1/2008,-4.09,128.2,10,2.4,Banda Sea
11/1/2008,-4.2,128.1,5,2.4,Banda Sea
11/1/2008,-3.65,127.99,5,3.5,Seram - Indonesia
11/1/2008,-6.61,129.39,30,5.5,Banda Sea
11/1/2008,-0.6,98.9,20,3.0,Southern Sumatra - Indonesia
11/2/2008,3.06,121.83,588,4.4,Celebes Sea
11/2/2008,-9.11,112.1,39,3.1,South of Java - Indonesia
11/2/2008,-6.02,103.69,12,4.5,Southwest of Sumatra - Indonesia
11/2/2008,-4.95,103.53,18,2.8,Southern Sumatra - Indonesia
11/2/2008,1.6,123.58,111,4.1,Minahassa Peninsula - Sulawesi
11/2/2008,3.96,126.71,306,4.4,Talaud Islands - Indonesia
11/3/2008,1.97,97.46,30,4.3,Northern Sumatra - Indonesia
11/3/2008,0.45,126.04,97,4.2,Northern Molucca Sea
11/3/2008,-0.78,127.07,53,4.9,Halmahera - Indonesia
11/3/2008,1.3,97.05,53,4.3,Northern Sumatra - Indonesia
11/3/2008,1.62,97.61,27,4.1,Northern Sumatra - Indonesia
11/3/2008,1.53,97.44,27,4.2,Northern Sumatra - Indonesia
11/3/2008,-5.97,103.96,12,3.8,Southern Sumatra - Indonesia
11/3/2008,-6.32,128.83,223,4.0,Banda Sea
11/3/2008,1.1,97.34,39,5.5,Northern Sumatra - Indonesia
11/3/2008,-7.72,113.75,6,2.6,Java - Indonesia
11/3/2008,-7.96,117.73,5,4.1,Bali Sea
11/3/2008,-3.26,126.29,43,3.6,Buru - Indonesia
11/3/2008,-8.64,112.28,101,3.2,Java - Indonesia
11/3/2008,0.27,120.6,37,4.4,Minahassa Peninsula - Sulawesi
11/3/2008,-8.91,117.31,131,4.3,Sumbawa Region - Indonesia
11/3/2008,-2.63,127.78,21,2.9,Ceram Sea
11/3/2008,-3.17,118.8,9,2.8,Sulawesi - Indonesia
11/4/2008,-3.1,122.84,259,3.7,Sulawesi - Indonesia
